Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),Diabetes_Friendly,Heart_Friendly,Kidney_Friendly,Liver_Friendly
Macaroni Salad (1 cup),Meal/Pasta,380.0,8.0,30.0,25.0,3.0,6.0,750.0,20.0,Lunch,0.0,0,0,0,0
Celery (1 stalk),Vegetable,6.0,0.3,1.2,0.1,0.6,0.5,32.0,0.0,Lunch,0.0,1,1,1,1
Blue Cheese (1 oz),Dairy,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,Snack,0.0,1,0,0,0
Dark Chocolate (1 oz 70%),Dessert,170.0,2.2,13.0,12.0,3.0,7.0,5.0,0.0,Snack,0.0,0,1,1,0
Acai Bowl (1 serving),Meal/Fruit,350.0,5.0,60.0,12.0,10.0,30.0,40.0,0.0,Breakfast,250.0,0,1,1,0
Granola (1/4 cup topping),Grain,120.0,3.0,15.0,6.0,3.0,7.0,20.0,0.0,Breakfast,0.0,0,1,1,0
Coconut Flakes (1 tbsp topping),Fruit,35.0,0.3,1.5,3.3,0.7,0.5,1.0,0.0,Breakfast,0.0,1,1,1,1
Honey (1 tsp drizzle),Condiment,21.0,0.0,5.8,0.0,0.0,5.8,0.0,0.0,Breakfast,0.0,0,1,1,1
Shrimp Cocktail (4 large shrimp),Protein/Seafood,60.0,10.0,1.0,1.0,0.0,0.5,300.0,110.0,Snack,0.0,1,0,0,1
Cocktail Sauce (2 tbsp),Condiment,30.0,0.5,7.0,0.0,0.5,5.0,450.0,0.0,Snack,0.0,0,0,0,1
Pork Bun (1 steamed),Meal/Processed,220.0,8.0,30.0,8.0,2.0,6.0,400.0,20.0,Lunch,0.0,0,0,0,0
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180.0,12.0,10.0,10.0,2.0,1.0,550.0,60.0,Lunch,0.0,1,0,0,0
Soy Sauce (1 tbsp for dipping),Condiment,9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,Lunch,0.0,1,0,0,1
Oyster (1 medium raw),Protein/Seafood,8.0,1.0,0.5,0.2,0.0,0.0,50.0,10.0,Dinner,0.0,1,1,1,1
Mignonette Sauce (1 tbsp),Condiment,5.0,0.0,1.0,0.0,0.0,0.5,30.0,0.0,Dinner,0.0,1,1,1,1
Beef Pho (1 large bowl),Meal/Soup,450.0,30.0,55.0,12.0,4.0,5.0,1500.0,60.0,Dinner,500.0,0,0,0,0
Bean Sprouts (1/4 cup garnish),Vegetable,8.0,0.8,1.5,0.1,0.4,1.0,1.0,0.0,Dinner,0.0,1,1,1,1
Thai Basil (garnish),Condiment,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Lime Wedge (garnish),Condiment,3.0,0.1,1.0,0.0,0.3,0.2,0.0,0.0,Dinner,0.0,1,1,1,1
Jalapeno (1 tbsp sliced),Vegetable,4.0,0.1,0.8,0.1,0.4,0.5,1.0,0.0,Dinner,0.0,1,1,1,1
Hoisin Sauce (1 tbsp),Condiment,35.0,0.3,8.0,0.2,0.1,5.0,220.0,0.0,Dinner,0.0,0,0,0,1
Sriracha (1 tsp),Condiment,5.0,0.1,1.0,0.1,0.1,0.8,80.0,0.0,Dinner,0.0,1,1,1,1
Crepe (1 plain),Grain,90.0,3.5,14.0,2.0,0.5,3.0,100.0,25.0,Breakfast,0.0,1,0,1,1
Nutella (1 tbsp),Condiment,100.0,1.5,11.0,6.0,1.0,10.0,10.0,0.0,Breakfast,0.0,0,1,1,0
Powdered Sugar (1 tsp),Condiment,10.0,0.0,2.5,0.0,0.0,2.5,0.0,0.0,Breakfast,0.0,1,1,1,1
Sake (3 oz),Beverage,117.0,0.4,3.8,0.0,0.0,0.0,4.0,0.0,Dinner,0.0,1,1,1,1
Edamame (in pod 1 cup),Legume,120.0,11.0,9.0,5.0,5.0,2.0,9.0,0.0,Snack,250.0,1,1,1,1
Sea Salt (coarse 1/4 tsp),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,Snack,0.0,1,0,0,1
Biryani (Chicken 1.5 cups),Meal/Meat,520.0,28.0,60.0,18.0,5.0,6.0,900.0,75.0,Dinner,0.0,0,0,0,0
Raita (2 tbsp),Condiment/Dairy,30.0,1.0,2.0,2.0,0.5,1.5,100.0,5.0,Dinner,0.0,1,1,1,1
Lassi (Mango 1 cup),Beverage,180.0,5.0,30.0,4.0,1.0,28.0,60.0,15.0,Snack,240.0,0,1,1,0
Samosa (1 piece vegetable),Snack/Processed,130.0,2.0,18.0,6.0,2.0,1.0,300.0,0.0,Snack,0.0,1,0,0,1
Tamarind Chutney (1 tbsp),Condiment,20.0,0.1,5.0,0.0,0.5,4.0,120.0,0.0,Snack,0.0,1,1,1,1
Mint Chutney (1 tbsp),Condiment,5.0,0.2,0.5,0.0,0.3,0.2,150.0,0.0,Snack,0.0,1,0,1,1
Pani Puri (6 pcs),Snack/Processed,200.0,4.0,35.0,5.0,3.0,2.0,400.0,0.0,Snack,0.0,0,0,0,1
Passion Fruit (1 fruit),Fruit,17.0,0.4,4.2,0.1,1.9,2.0,5.0,0.0,Snack,0.0,1,1,1,1
Kimchi Jjigae (1 bowl),Meal/Soup,350.0,15.0,20.0,22.0,5.0,6.0,1200.0,30.0,Dinner,500.0,0,0,0,0
Silken Tofu (3oz in soup),Protein/Vegetarian,45.0,5.0,2.0,2.5,0.5,1.0,5.0,0.0,Dinner,0.0,1,1,1,1
Pork Belly (1 oz in soup),Protein/Meat,145.0,3.0,0.0,15.0,0.0,0.0,150.0,20.0,Dinner,0.0,1,0,1,0
Gochugaru (1 tsp),Condiment,10.0,0.3,1.8,0.3,0.5,0.3,1.0,0.0,Dinner,0.0,1,1,1,1
Gochujang (1 tbsp),Condiment,30.0,0.5,6.0,0.0,0.5,4.0,200.0,0.0,Dinner,0.0,1,0,0,1
Sesame Oil (1 tsp),Condiment,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Fish Sauce (1 tsp),Condiment,5.0,0.4,0.5,0.0,0.0,0.4,450.0,0.0,Dinner,0.0,1,0,0,1
Sugar (1 tsp  in broth),Condiment,16.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,Dinner,0.0,1,1,1,1
Green Onion (1 tbsp garnish),Vegetable,3.0,0.2,0.7,0.0,0.2,0.2,0.0,0.0,Dinner,0.0,1,1,1,1
Kombucha (16 oz),Beverage,60.0,0.0,14.0,0.0,0.0,12.0,20.0,0.0,Snack,473.0,0,1,1,0
Beef Wellington (1 slice),Meal/Meat,600.0,30.0,35.0,38.0,4.0,4.0,850.0,100.0,Dinner,0.0,0,0,0,0
Pate (Mushroom 2 tbsp),Condiment,70.0,1.0,2.0,7.0,1.0,1.0,100.0,0.0,Dinner,0.0,1,1,1,0
Puff Pastry (1 oz wrapper),Grain,115.0,1.5,9.0,8.0,0.5,0.0,100.0,0.0,Dinner,0.0,1,1,1,0
Prosciutto (1 slice),Protein/Meat,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,Dinner,0.0,1,0,0,1
Asparagus (6 spears roasted),Vegetable,40.0,4.0,4.0,2.0,3.0,2.0,150.0,0.0,Dinner,0.0,1,0,1,1
Hollandaise Sauce (1 tbsp),Condiment,55.0,0.5,0.2,6.0,0.0,0.1,75.0,25.0,Dinner,0.0,1,0,1,1
Flan (1 slice),Dessert,220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,Snack,0.0,0,0,1,0
Caramel Sauce (1 tbsp),Condiment,60.0,0.0,13.0,1.0,0.0,12.0,30.0,5.0,Snack,0.0,0,1,1,0
Congee (1 cup plain),Meal/Grain,130.0,2.5,28.0,1.0,1.0,0.5,300.0,0.0,Breakfast,0.0,1,0,0,1
Pickled Radish (1/4 cup),Vegetable,15.0,0.5,3.0,0.0,1.0,2.0,250.0,0.0,Breakfast,0.0,1,0,0,1
Pork Floss (1 tbsp),Protein/Meat,50.0,4.0,3.0,2.0,0.0,2.5,150.0,10.0,Breakfast,0.0,1,0,1,1
Century Egg (1 egg),Protein,100.0,7.0,1.0,7.0,0.0,0.5,300.0,200.0,Breakfast,0.0,1,0,0,0
Arugula (2 cups),Vegetable,10.0,1.0,0.8,0.2,0.4,0.4,6.0,0.0,Lunch,0.0,1,1,1,1
Goat Cheese (1 oz),Dairy,103.0,6.1,0.1,8.5,0.0,0.1,146.0,22.0,Lunch,0.0,1,0,1,0
Beets (1/2 cup roasted),Vegetable,30.0,0.8,6.8,0.1,1.4,5.8,50.0,0.0,Lunch,0.0,0,1,1,1
Walnuts (1 tbsp chopped),Nut,46.0,1.1,1.0,4.6,0.5,0.2,0.0,0.0,Lunch,0.0,1,1,1,1
Balsamic Glaze (1 tbsp),Condiment,40.0,0.0,9.0,0.0,0.0,8.0,10.0,0.0,Lunch,0.0,0,1,1,0
Bobotie (1 serving),Meal/Meat,450.0,25.0,30.0,25.0,5.0,15.0,700.0,150.0,Dinner,0.0,0,0,0,0
Yellow Rice (1 cup),Grain,230.0,4.0,50.0,1.0,2.0,1.0,300.0,0.0,Dinner,0.0,0,0,0,1
Chutney (Mango 1 tbsp),Condiment,45.0,0.1,11.0,0.1,0.5,10.0,180.0,0.0,Dinner,0.0,0,0,1,0
Malva Pudding (1 slice),Dessert,380.0,5.0,60.0,14.0,2.0,40.0,350.0,60.0,Snack,0.0,0,0,0,0
Custard (1/4 cup),Condiment,80.0,3.0,10.0,3.0,0.0,8.0,40.0,40.0,Snack,0.0,0,0,1,0
Bubble Tea (16 oz milk tea),Beverage,320.0,2.0,70.0,4.0,1.0,60.0,100.0,10.0,Snack,473.0,0,1,1,0
Tapioca Pearls (1/4 cup boba),Condiment,100.0,0.0,25.0,0.0,0.0,20.0,5.0,0.0,Snack,0.0,0,1,1,0
Paella (1.5 cups seafood),Meal/Rice,550.0,30.0,70.0,18.0,6.0,5.0,1200.0,110.0,Dinner,0.0,0,0,0,0
Chorizo (1 oz in paella),Protein/Meat,130.0,6.0,1.0,11.0,0.0,0.5,350.0,30.0,Dinner,0.0,1,0,0,0
Saffron (pinch),Condiment,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Aioli (Garlic 1 tbsp),Condiment,95.0,0.1,0.5,10.5,0.0,0.1,70.0,5.0,Dinner,0.0,1,1,1,0
Gazpacho (1 cup),Meal/Soup,90.0,2.0,12.0,4.0,3.0,7.0,600.0,0.0,Lunch,240.0,0,0,0,0
Croutons (Garlic 1/4 cup),Grain,50.0,1.5,7.0,2.0,0.5,0.5,140.0,0.0,Lunch,0.0,1,0,1,1
Olive Oil (1 tsp garnish),Condiment,40.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Churros (2 sticks),Dessert,240.0,3.0,30.0,12.0,1.5,10.0,200.0,20.0,Snack,0.0,0,0,0,0
Chocolate Sauce (1 tbsp dipping),Condiment,50.0,0.5,10.0,1.5,1.0,8.0,5.0,0.0,Snack,0.0,0,1,1,0
Cinnamon Sugar (1 tsp),Condiment,20.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,Snack,0.0,0,1,1,1
Horchata (1 cup),Beverage,140.0,2.0,25.0,3.0,1.0,22.0,30.0,5.0,Snack,240.0,0,1,1,0
Ceviche (1 cup fish),Meal/Fish,180.0,25.0,15.0,2.0,3.0,4.0,700.0,45.0,Lunch,0.0,1,0,0,1
Red Onion (1/4 cup in ceviche),Vegetable,16.0,0.3,3.7,0.0,0.4,1.8,1.0,0.0,Lunch,0.0,1,1,1,1
Cilantro (2 tbsp garnish),Condiment,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Corn Nuts (1 oz),Snack/Processed,130.0,2.0,23.0,4.0,2.0,0.0,180.0,0.0,Snack,0.0,1,0,1,1
Lomo Saltado (1.5 cups),Meal/Meat,500.0,35.0,45.0,22.0,5.0,6.0,1100.0,90.0,Dinner,0.0,0,0,0,0
French Fries (as side),Vegetable/Processed,200.0,2.0,25.0,10.0,2.0,0.2,130.0,0.0,Dinner,0.0,1,1,1,0
Soy Sauce (1 tbsp in stir-fry),Condiment,9.0,1.0,1.0,0.0,0.1,0.4,920.0,0.0,Dinner,0.0,1,0,0,1
Aji Amarillo Paste (1 tsp),Condiment,5.0,0.1,1.0,0.0,0.5,0.5,50.0,0.0,Dinner,0.0,1,1,1,1
Pisco Sour (1 drink),Beverage,250.0,1.0,25.0,0.0,0.0,24.0,5.0,5.0,Snack,180.0,0,1,1,0
Egg White (in drink),Condiment,17.0,3.6,0.2,0.0,0.0,0.2,55.0,0.0,Snack,0.0,1,1,1,1
Angostura Bitters (dash),Condiment,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Alfajores (1 cookie),Dessert,180.0,2.0,22.0,10.0,1.0,15.0,60.0,20.0,Snack,0.0,0,0,1,0
Dulce de Leche (1 tbsp filling),Condiment,65.0,1.0,12.0,1.5,0.0,10.0,30.0,5.0,Snack,0.0,0,1,1,0
Coconut (shredded garnish),Fruit,10.0,0.1,0.5,1.0,0.2,0.1,0.0,0.0,Snack,0.0,1,1,1,1
Mate (1 cup),Beverage,5.0,0.2,1.0,0.0,0.0,0.0,2.0,0.0,Breakfast,240.0,1,1,1,1
Media Luna (1 pastry),Grain,190.0,4.0,25.0,8.0,1.0,9.0,150.0,25.0,Breakfast,0.0,0,0,1,0
Chimichurri (1 tbsp),Condiment,45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,Dinner,0.0,1,1,1,1
Skirt Steak (4oz grilled),Protein/Meat,240.0,26.0,0.0,15.0,0.0,0.0,70.0,80.0,Dinner,0.0,1,0,0,0
Provoleta (1 oz grilled cheese),Dairy,100.0,7.0,1.0,8.0,0.0,0.5,250.0,20.0,Dinner,0.0,1,0,0,0
Oregano (1 tsp),Condiment,3.0,0.1,0.7,0.0,0.2,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Empanada (Beef 1 medium),Meal/Processed,290.0,10.0,28.0,16.0,3.0,3.0,550.0,30.0,Lunch,0.0,1,0,0,0
Chicken Milanesa (1 serving),Meal/Meat,450.0,35.0,30.0,22.0,3.0,2.0,700.0,100.0,Dinner,0.0,0,0,0,0
Mashed Potatoes (side),Vegetable,150.0,3.0,25.0,4.0,2.0,2.0,300.0,10.0,Dinner,0.0,1,0,0,1
Flan (1 slice),Dessert,220.0,6.0,35.0,7.0,0.0,33.0,80.0,90.0,Snack,0.0,0,0,1,0
Choripan (1 sandwich),Meal/Processed,550.0,20.0,40.0,35.0,3.0,4.0,1100.0,80.0,Lunch,250.0,0,0,0,0
Baguette (slice),Grain,70.0,2.5,14.0,0.5,0.6,0.5,150.0,0.0,Lunch,0.0,1,0,1,1
Chimichurri (1 tbsp),Condiment,45.0,0.1,0.5,4.5,0.2,0.1,100.0,0.0,Lunch,0.0,1,1,1,1
Pizza (Margherita 1 slice),Meal/Processed,250.0,12.0,30.0,10.0,3.0,4.0,600.0,25.0,Dinner,250.0,0,0,0,0
Fresh Mozzarella (1 oz),Dairy,72.0,5.0,0.8,5.0,0.0,0.3,138.0,22.0,Dinner,0.0,1,0,1,1
Basil (2 tbsp fresh),Condiment,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Carbonara (1.5 cups),Meal/Pasta,650.0,25.0,60.0,35.0,4.0,4.0,900.0,250.0,Dinner,0.0,0,0,0,0
Guanciale (1 oz),Protein/Meat,170.0,3.0,0.0,18.0,0.0,0.0,450.0,35.0,Dinner,0.0,1,0,0,0
Pecorino Cheese (1 tbsp),Dairy,25.0,1.5,0.1,2.0,0.0,0.0,110.0,6.0,Dinner,0.0,1,1,1,1
Black Pepper (1/4 tsp),Condiment,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Egg Yolk (1 large in sauce),Protein,55.0,2.7,0.6,4.5,0.0,0.3,8.0,184.0,Dinner,0.0,1,0,1,1
Supplì (1 piece fried rice ball),Snack/Processed,200.0,8.0,25.0,8.0,2.0,2.0,400.0,25.0,Snack,0.0,1,0,0,0
Aperol Spritz (1 drink),Beverage,180.0,0.0,20.0,0.0,0.0,20.0,10.0,0.0,Snack,150.0,0,1,1,0
Prosecco (3 oz),Beverage,70.0,0.0,2.0,0.0,0.0,1.5,5.0,0.0,Snack,0.0,1,1,1,1
Club Soda (2 oz),Beverage,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,Snack,0.0,1,1,1,1
Orange Slice (garnish),Fruit,5.0,0.1,1.0,0.0,0.2,0.8,0.0,0.0,Snack,0.0,1,1,1,1
Tagliatelle al Ragù (Bolognese),Meal/Pasta,550.0,28.0,65.0,20.0,7.0,8.0,850.0,70.0,Dinner,500.0,0,0,0,0
Ground Beef (2 oz in sauce),Protein/Meat,140.0,11.0,0.0,10.0,0.0,0.0,40.0,35.0,Dinner,0.0,1,0,1,0
Pancetta (0.5 oz in sauce),Protein/Meat,45.0,1.5,0.0,4.5,0.0,0.0,160.0,10.0,Dinner,0.0,1,0,1,1
Carrot (1/4 minced in sauce),Vegetable,10.0,0.2,2.4,0.1,0.7,1.2,17.0,0.0,Dinner,0.0,1,1,1,1
Celery (1/4 stalk minced),Vegetable,2.0,0.1,0.4,0.0,0.2,0.2,12.0,0.0,Dinner,0.0,1,1,1,1
Onion (1/8 minced in sauce),Vegetable,5.0,0.1,1.2,0.0,0.2,0.6,1.0,0.0,Dinner,0.0,1,1,1,1
Crushed Tomatoes (1/2 cup sauce),Vegetable,20.0,1.0,4.0,0.0,1.5,3.0,200.0,0.0,Dinner,0.0,1,0,0,1
Parmigiano-Reggiano (1 tbsp),Dairy,22.0,2.0,0.2,1.5,0.0,0.0,95.0,4.0,Dinner,0.0,1,1,1,1
Cannoli (1 medium),Dessert,240.0,5.0,25.0,13.0,1.0,18.0,100.0,30.0,Snack,0.0,0,0,1,0
Ricotta (filling 1 oz),Dairy,49.0,3.2,0.8,3.8,0.0,0.1,23.0,14.0,Snack,0.0,1,1,1,1
Pistachio (garnish),Nut,10.0,0.4,0.5,0.8,0.2,0.1,0.0,0.0,Snack,0.0,1,1,1,1
Biscotti (1 cookie),Dessert,110.0,2.0,18.0,4.0,1.0,9.0,50.0,15.0,Snack,0.0,0,1,1,0
Espresso (for dipping),Beverage,2.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,Snack,30.0,1,1,1,1
Focaccia (1 square),Grain,250.0,8.0,40.0,7.0,2.0,2.0,500.0,0.0,Lunch,0.0,0,0,0,0
Rosemary (1 tsp topping),Condiment,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,Lunch,0.0,1,1,1,1
Coarse Salt (garnish),Condiment,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,Lunch,0.0,1,0,0,1
Olive Oil (1 tbsp drizzle),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Lunch,0.0,1,1,1,0
Bruschetta (2 pcs),Snack/Appetizer,180.0,4.0,25.0,7.0,3.0,4.0,350.0,0.0,Snack,0.0,1,0,0,0
Balsamic Glaze (1 tsp),Condiment,13.0,0.0,3.0,0.0,0.0,2.7,3.0,0.0,Snack,0.0,1,1,1,1
Ribollita (1.5 cups soup),Meal/Soup,350.0,15.0,55.0,8.0,14.0,10.0,900.0,5.0,Dinner,500.0,0,0,0,0
Cannellini Beans (1/2 cup in soup),Legume,105.0,7.0,20.0,0.5,6.0,1.0,230.0,0.0,Dinner,0.0,1,0,0,1
Kale (1 cup in soup),Vegetable,33.0,2.9,6.0,0.6,2.0,1.0,29.0,0.0,Dinner,0.0,1,1,1,1
Stale Bread (1/2 cup in soup),Grain,80.0,3.0,15.0,1.0,1.0,1.5,160.0,0.0,Dinner,0.0,1,0,1,1
Polenta (1 cup creamy),Meal/Grain,150.0,3.0,32.0,1.0,3.0,1.0,350.0,5.0,Dinner,0.0,0,0,0,1
Gorgonzola Cheese (1 oz),Dairy,100.0,6.0,0.7,8.0,0.0,0.1,325.0,21.0,Dinner,0.0,1,0,0,0
Negroni (1 drink),Beverage,190.0,0.0,15.0,0.0,0.0,15.0,5.0,0.0,Snack,90.0,0,1,1,0
Gin (1 oz),Beverage,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Campari (1 oz),Beverage,80.0,0.0,10.0,0.0,0.0,10.0,5.0,0.0,Snack,0.0,0,1,1,0
Sweet Vermouth (1 oz),Beverage,40.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,Snack,0.0,0,1,1,1
Orange Peel (garnish),Condiment,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,Snack,0.0,1,1,1,1
Osso Buco (1 serving),Meal/Meat,550.0,45.0,15.0,30.0,4.0,6.0,900.0,150.0,Dinner,0.0,0,0,0,0
Gremolata (1 tbsp),Condiment,15.0,0.5,1.0,1.0,0.5,0.5,5.0,0.0,Dinner,0.0,1,1,1,1
Risotto alla Milanese (1 cup),Meal/Rice,350.0,10.0,50.0,12.0,3.0,3.0,700.0,30.0,Dinner,0.0,0,0,0,0
Saffron (pinch in risotto),Condiment,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Panettone (1 slice),Dessert,320.0,6.0,50.0,12.0,3.0,25.0,200.0,70.0,Snack,0.0,0,0,0,0
Candied Fruit (1 tbsp),Fruit,30.0,0.0,8.0,0.0,0.5,8.0,5.0,0.0,Snack,0.0,0,1,1,0
Amaretti Cookie (2 cookies),Dessert,90.0,2.0,12.0,4.0,1.0,10.0,10.0,0.0,Snack,0.0,0,1,1,0
Limoncello (1.5 oz shot),Beverage,150.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,Snack,0.0,0,1,1,0
Panna Cotta (1 serving),Dessert,300.0,4.0,25.0,20.0,0.0,22.0,50.0,70.0,Snack,0.0,0,0,1,0
Berry Coulis (1 tbsp),Condiment,20.0,0.0,5.0,0.0,0.5,4.5,0.0,0.0,Snack,0.0,1,1,1,1
Saltimbocca (1 serving),Meal/Meat,380.0,38.0,5.0,22.0,0.5,1.0,850.0,120.0,Dinner,0.0,1,0,0,0
Prosciutto (1 slice wrapper),Protein/Meat,35.0,4.0,0.0,2.5,0.0,0.0,280.0,10.0,Dinner,0.0,1,0,0,1
Sage (2 leaves),Condiment,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
White Wine Sauce (1/4 cup),Condiment,80.0,1.0,4.0,6.0,0.5,2.0,300.0,5.0,Dinner,0.0,1,0,0,1
Polenta (grilled 1 slice),Meal/Grain,120.0,2.5,25.0,1.0,2.0,0.5,300.0,0.0,Dinner,0.0,1,0,0,1
Caponata (1/2 cup),Meal/Vegetable,180.0,2.0,15.0,14.0,5.0,9.0,400.0,0.0,Dinner,0.0,0,0,0,0
Eggplant (1/2 cup in caponata),Vegetable,40.0,0.5,6.0,2.0,2.0,3.0,150.0,0.0,Dinner,0.0,1,0,1,1
Pine Nuts (1/2 tbsp),Nut,48.0,1.0,1.0,5.0,0.2,0.2,0.0,0.0,Dinner,0.0,1,1,1,1
Raisins (1 tbsp),Fruit,27.0,0.3,7.0,0.0,0.3,6.0,1.0,0.0,Dinner,0.0,0,1,1,1
Gelato (Pistachio 1/2 cup),Dessert,220.0,5.0,24.0,12.0,2.0,20.0,60.0,40.0,Snack,0.0,0,0,1,0
Waffle Cone (1 small),Grain,70.0,1.0,13.0,1.5,0.5,7.0,30.0,5.0,Snack,0.0,0,1,1,0
Cacio e Pepe (1.5 cups),Meal/Pasta,500.0,18.0,65.0,19.0,4.0,3.0,700.0,50.0,Dinner,0.0,0,0,0,0
Pecorino Romano (1/4 cup),Dairy,110.0,7.5,1.0,8.5,0.0,0.0,450.0,25.0,Dinner,0.0,1,0,0,0
Black Pepper (1/2 tsp),Condiment,3.0,0.1,0.7,0.0,0.3,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Fiorentina Steak (3oz portion),Protein/Meat,230.0,24.0,0.0,15.0,0.0,0.0,60.0,75.0,Dinner,0.0,1,0,0,0
Olive Oil (1 tbsp drizzle),Condiment,120.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,0
Rosemary (garnish),Condiment,1.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
White Beans (Tuscan style 1/2 cup),Legume,150.0,8.0,20.0,4.0,7.0,2.0,350.0,0.0,Dinner,0.0,1,0,0,1
Garlic (1 clove in beans),Vegetable,4.0,0.2,0.9,0.0,0.1,0.0,1.0,0.0,Dinner,0.0,1,1,1,1
Sage (in beans),Condiment,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Arancini (1 large ball),Snack/Processed,250.0,9.0,30.0,10.0,3.0,3.0,500.0,30.0,Snack,0.0,0,0,0,0
Ragù (filling 1 tbsp),Condiment,25.0,1.5,1.0,1.5,0.5,0.5,60.0,5.0,Snack,0.0,1,1,1,1
Mozzarella (filling 0.5 oz),Dairy,40.0,3.0,0.5,3.0,0.0,0.2,75.0,10.0,Snack,0.0,1,1,1,1
Breadcrumbs (coating),Grain,25.0,0.5,4.0,0.5,0.5,0.5,50.0,0.0,Snack,0.0,1,1,1,1
Campari & Soda (1 drink),Beverage,85.0,0.0,10.0,0.0,0.0,10.0,25.0,0.0,Snack,150.0,0,1,1,0
Olive (garnish),Fruit,5.0,0.0,0.1,0.5,0.1,0.0,30.0,0.0,Snack,0.0,1,1,1,1
Vitello Tonnato (1 serving),Meal/Meat,380.0,35.0,3.0,25.0,0.5,1.0,600.0,110.0,Lunch,0.0,1,0,0,0
Tuna Sauce (2 tbsp),Condiment,100.0,4.0,1.0,9.0,0.0,0.5,200.0,15.0,Lunch,0.0,1,0,0,0
Capers (garnish),Condiment,2.0,0.2,0.4,0.1,0.3,0.1,200.0,0.0,Lunch,0.0,1,0,0,1
Lemon Slice (garnish),Condiment,1.0,0.0,0.3,0.0,0.1,0.1,0.0,0.0,Lunch,0.0,1,1,1,1
Gnocchi alla Sorrentina (1.5 cups),Meal/Pasta,450.0,15.0,60.0,18.0,6.0,9.0,800.0,40.0,Dinner,0.0,0,0,0,0
Tomato Sauce (1/2 cup),Condiment,40.0,1.5,7.0,1.0,2.0,4.0,350.0,0.0,Dinner,0.0,1,0,0,1
Mozzarella (1 oz melted),Dairy,80.0,6.0,1.0,6.0,0.0,0.5,150.0,20.0,Dinner,0.0,1,0,1,1
Basil (fresh garnish),Condiment,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Parmigiano-Reggiano (1 tbsp),Dairy,22.0,2.0,0.2,1.5,0.0,0.0,95.0,4.0,Dinner,0.0,1,1,1,1
Pesto (1/4 cup),Condiment,290.0,5.0,4.0,29.0,2.0,1.0,600.0,5.0,Dinner,0.0,1,0,0,0
Pine Nuts (1 tbsp in pesto),Nut,95.0,2.0,2.0,10.0,0.5,0.5,0.0,0.0,Dinner,0.0,1,1,1,0
Garlic (1/2 clove in pesto),Vegetable,2.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,Dinner,0.0,1,1,1,1
Trofie Pasta (1 cup cooked),Grain,210.0,7.0,43.0,1.0,2.0,1.0,5.0,0.0,Dinner,0.0,0,1,1,1
Green Beans (1/2 cup w/ pasta),Vegetable,15.0,0.9,3.5,0.1,1.3,1.6,3.0,0.0,Dinner,0.0,1,1,1,1
